0.000000 0.000000 0.000000 1.000000 
0.000000 0.526316 0.000000 1.000000 
0.000000 1.052632 0.000000 1.000000 
0.000000 1.578947 0.000000 1.000000 
0.000000 2.105263 0.000000 1.000000 
0.000000 2.631579 0.000000 1.000000 
0.000000 3.157895 0.000000 1.000000 
0.000000 3.684211 0.000000 1.000000 
0.000000 4.210526 0.000000 1.000000 
0.000000 4.736842 0.000000 1.000000 
0.000000 5.263158 0.000000 1.000000 
0.000000 5.789474 0.000000 1.000000 
0.000000 6.315789 0.000000 1.000000 
0.000000 6.842105 0.000000 1.000000 
0.000000 7.368421 0.000000 1.000000 
0.000000 7.894737 0.000000 1.000000 
0.000000 8.421053 0.000000 1.000000 
0.000000 8.947368 0.000000 1.000000 
0.000000 9.473684 0.000000 1.000000 
0.000000 10.000000 0.000000 1.000000 
0.500000 0.000000 0.062307 1.479426 
0.500000 0.526316 0.053647 1.176210 
0.500000 1.052632 0.050910 1.053312 
0.500000 1.578947 0.050121 1.008327 
0.500000 2.105263 0.049917 0.993854 
0.500000 2.631579 0.049869 0.989762 
0.500000 3.157895 0.049859 0.988737 
0.500000 3.684211 0.049857 0.988507 
0.500000 4.210526 0.049856 0.988461 
0.500000 4.736842 0.049856 0.988452 
0.500000 5.263158 0.049856 0.988451 
0.500000 5.789474 0.049856 0.988451 
0.500000 6.315789 0.049856 0.988450 
0.500000 6.842105 0.049856 0.988450 
0.500000 7.368421 0.049856 0.988450 
0.500000 7.894737 0.049856 0.988450 
0.500000 8.421053 0.049856 0.988450 
0.500000 8.947368 0.049856 0.988450 
0.500000 9.473684 0.049856 0.988450 
0.500000 10.000000 0.049856 0.988450 
1.000000 0.000000 0.146045 1.841471 
1.000000 0.526316 0.117773 1.376370 
1.000000 1.052632 0.106182 1.155660 
1.000000 1.578947 0.101445 1.046548 
1.000000 2.105263 0.099594 0.994721 
1.000000 2.631579 0.098913 0.971789 
1.000000 3.157895 0.098678 0.962426 
1.000000 3.684211 0.098602 0.958901 
1.000000 4.210526 0.098579 0.957675 
1.000000 4.736842 0.098573 0.957279 
1.000000 5.263158 0.098571 0.957160 
1.000000 5.789474 0.098570 0.957127 
1.000000 6.315789 0.098570 0.957118 
1.000000 6.842105 0.098570 0.957116 
1.000000 7.368421 0.098570 0.957116 
1.000000 7.894737 0.098570 0.957116 
1.000000 8.421053 0.098570 0.957116 
1.000000 8.947368 0.098570 0.957116 
1.000000 9.473684 0.098570 0.957116 
1.000000 10.000000 0.098570 0.957116 
1.500000 0.000000 0.243005 1.997495 
